condition,local_dropout,local_latency_ms,local_pos_noise_m,local_vel_noise_mps,empirical_dropout_rate_mean,empirical_dropout_rate_min,empirical_dropout_rate_max,safety_success_rate,inter_agent_collision_pair_samples,obstacle_contact_samples,min_inter_agent_distance_m,min_obstacle_contact_boundary_margin_m,median_T90_s,T90_reached_runs,median_T95_s,T95_reached_runs,median_T99_s,T99_reached_runs,mean_reached_fraction,obstacle_projection_adjustments,pairwise_projection_adjustments,clearance_envelope_violation_steps
idealized_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.27282354774451795,0.36000099999999846,69.0,5,71.75,5,77.0,5,1.0,24,0,24
dropout_0p05,0.05,0.0,0.0,0.0,0.050534446764091856,0.04923799582463466,0.051492693110647185,1.0,0,0,0.24586198047332106,0.36000005669427326,68.5,5,72.0,5,76.5,5,1.0,30,0,30
dropout_0p10,0.1,0.0,0.0,0.0,0.10018162839248435,0.0995615866388309,0.10069937369519832,1.0,0,0,0.16359037177956107,0.36000078892368537,69.5,5,72.33333333333333,5,76.0,5,1.0,30,0,30
dropout_0p20,0.2,0.0,0.0,0.0,0.19918371607515656,0.19819415448851774,0.20100208768267222,1.0,0,0,0.16226266405727838,0.36000099999999846,69.33333333333333,5,71.75,5,78.0,5,1.0,30,0,30
dropout_0p40,0.4,0.0,0.0,0.0,0.3998580375782881,0.3966492693110647,0.4022129436325679,1.0,0,0,0.14000099999999918,0.3600009999999989,70.25,5,73.0,5,80.5,5,1.0,43,10,48
latency_050ms,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.24437318862471896,0.3600009999999987,69.625,5,72.5,5,78.5,5,1.0,33,0,33
latency_100ms,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.2641210696451722,0.3600009999999987,70.25,5,73.0,5,78.5,5,0.999,25,0,25
latency_250ms,0.0,250.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.20919340664061828,0.3600009999999989,72.33333333333333,5,75.25,5,80.0,5,1.0,21,0,21
noise_0p005_0p010,0.0,0.0,0.005,0.01,0.0,0.0,0.0,1.0,0,0,0.252886375907007,0.3600009999999987,69.0,5,71.5,5,77.75,5,1.0,28,0,28
noise_0p010_0p020,0.0,0.0,0.01,0.02,0.0,0.0,0.0,1.0,0,0,0.23394750672759726,0.360000999999999,69.0,5,72.0,5,79.5,5,1.0,23,0,23
noise_0p020_0p040,0.0,0.0,0.02,0.04,0.0,0.0,0.0,1.0,0,0,0.27776174359369815,0.36000094706835173,69.0,5,71.5,5,76.0,5,1.0,25,0,25
noise_0p050_0p100,0.0,0.0,0.05,0.1,0.0,0.0,0.0,1.0,0,0,0.23374756155045148,0.3600004818442287,68.66666666666667,5,71.375,5,77.5,5,1.0,30,0,30
combined_moderate,0.1,100.0,0.01,0.02,0.09906054279749478,0.09784968684759916,0.1001356993736952,1.0,0,0,0.17225564082428035,0.3600009999999991,70.875,5,74.25,5,79.0,5,1.0,23,0,23
combined_severe,0.2,250.0,0.02,0.04,0.1995427974947808,0.19872651356993737,0.20042797494780792,1.0,0,0,0.17883989203565348,0.3600009999999988,72.5,5,75.7,5,81.5,5,1.0,41,0,41
