run_id,scenario,controller,n_agents,seed,packet_loss,latency_ms,comm_radius_m,k_neighbors,update_rate_hz,obstacle_update_rate_hz,local_dropout,local_latency_ms,local_pos_noise_m,local_vel_noise_mps,local_safety_dropout,local_safety_latency_ms,local_safety_update_rate_hz,local_safety_position_noise_std_m,local_safety_velocity_noise_std_mps,local_safety_latency_steps,local_safety_dropout_attempts,local_safety_dropout_holds,local_safety_realized_dropout_rate,horizon_s,dt_s,min_inter_agent_distance_m,min_obstacle_contact_boundary_margin_m,cumulative_collision_pairs,collision_rate_per_pair_step,cumulative_safety_violation_pairs,safety_violation_rate_per_pair_step,cumulative_obstacle_contacts,obstacle_contact_rate_per_agent_step,final_reached_fraction,mission_success,completion_time_s,final_mean_goal_distance_m,energy_proxy_accel2_s_per_agent,mean_messages_per_agent_per_update,runtime_s,runtime_ms_per_agent_step,scenario_description,pairwise_projection_calls,pairwise_projection_pair_adjustments,pairwise_projection_agent_adjustments,pairwise_projection_total_displacement_m,pairwise_projection_max_displacement_m,pairwise_projection_velocity_corrections,pairwise_projection_agent_adjustment_rate_per_agent_step,obstacle_projection_calls,obstacle_projection_agent_adjustments,obstacle_projection_total_displacement_m,obstacle_projection_max_displacement_m,obstacle_projection_velocity_corrections,obstacle_projection_agent_adjustment_rate_per_agent_step,projection_agent_adjustments,projection_agent_adjustment_rate_per_agent_step,projection_total_displacement_m,projection_mean_displacement_m_per_adjustment,projection_max_displacement_m,pre_projection_state_checks,pre_projection_collision_pairs,pre_projection_collision_rate_per_pair_step,pre_projection_obstacle_contacts,pre_projection_obstacle_contact_rate_per_agent_step,pre_projection_pairwise_violation_pairs,pre_projection_pairwise_violation_rate_per_pair_step,pre_projection_pairwise_violation_agent_steps,pre_projection_pairwise_violation_agent_rate_per_agent_step,pre_projection_pairwise_mean_penetration_m,pre_projection_pairwise_p95_penetration_m,pre_projection_pairwise_p99_penetration_m,pre_projection_pairwise_max_penetration_m,pre_projection_obstacle_violation_agent_steps,pre_projection_obstacle_violation_rate_per_agent_step,pre_projection_obstacle_mean_penetration_m,pre_projection_obstacle_p95_penetration_m,pre_projection_obstacle_p99_penetration_m,pre_projection_obstacle_max_penetration_m,pre_projection_obstacle_min_clearance_margin_m,local_condition,T90_s,T95_s,T99_s
corridor_obstacles__proposed__N200__pl20__lat050__seed0__idealized_baseline,corridor_obstacles,proposed,200,0,0.2,50.0,4.0,12,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,120.0,0.05,0.2980502158036116,0.36000099999999846,0,0.0,207,4.332365701895567e-06,0,0.0,1.0,True,69.0,0.16361949151596214,37.17056247478567,9.538700623700624,126.56677475199103,0.26357095950018955,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,5,0.012643915878641079,0.006821520768520577,5,1.0416666666666666e-05,5,1.0416666666666666e-05,0.012643915878641079,0.0025287831757282156,0.006821520768520577,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,1.0416666666666666e-05,0.0025277831757282154,0.006193904953056649,0.006695197605427791,0.006820520768520577,-0.006820520768520577,idealized_baseline,69.0,71.75,77.0
corridor_obstacles__proposed__N200__pl20__lat050__seed1__idealized_baseline,corridor_obstacles,proposed,200,1,0.2,50.0,4.0,12,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,120.0,0.05,0.2932177721640579,0.3600009999999998,0,0.0,181,3.7882038262951576e-06,0,0.0,1.0,True,69.4,0.15989512017464746,37.84186526155386,9.517931392931393,127.12455187132582,0.2647325111856015,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,5,0.010326736678388095,0.0032340970679950167,5,1.0416666666666666e-05,5,1.0416666666666666e-05,0.010326736678388095,0.002065347335677619,0.0032340970679950167,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,1.0416666666666666e-05,0.0020643473356776187,0.003127985106994746,0.0032120746757949626,0.0032330970679950166,-0.0032330970679950166,idealized_baseline,69.5,72.16666666666667,74.5
corridor_obstacles__proposed__N200__pl20__lat050__seed2__idealized_baseline,corridor_obstacles,proposed,200,2,0.2,50.0,4.0,12,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,120.0,0.05,0.2757581159587802,0.360001,0,0.0,152,3.181254041971624e-06,0,0.0,1.0,True,68.15,0.1606159220056459,37.261231553823706,9.486850311850311,127.36245511192828,0.2652279365096382,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,4,0.009636336589126876,0.005045342815510916,4,8.333333333333334e-06,4,8.333333333333334e-06,0.009636336589126876,0.002409084147281719,0.005045342815510916,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,8.333333333333334e-06,0.0024080841472817194,0.0046097864874263695,0.004957431549894006,0.005044342815510916,-0.005044342815510916,idealized_baseline,68.25,73.0,78.5
corridor_obstacles__proposed__N200__pl20__lat050__seed3__idealized_baseline,corridor_obstacles,proposed,200,3,0.2,50.0,4.0,12,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,120.0,0.05,0.31409225016972026,0.36000099999999924,0,0.0,141,2.9510317099868357e-06,0,0.0,1.0,True,69.45,0.1584996020214198,37.741413751570285,9.506954261954261,127.71004481706768,0.26595178012717136,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,4,0.012110082756354163,0.005527881405639506,4,8.333333333333334e-06,4,8.333333333333334e-06,0.012110082756354163,0.0030275206890885407,0.005527881405639506,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,8.333333333333334e-06,0.003026520689088541,0.005486273236148376,0.005518759771741279,0.0055268814056395055,-0.0055268814056395055,idealized_baseline,69.25,70.75,76.0
corridor_obstacles__proposed__N200__pl20__lat050__seed4__idealized_baseline,corridor_obstacles,proposed,200,4,0.2,50.0,4.0,12,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,120.0,0.05,0.27282354774451795,0.36000099999999957,0,0.0,253,5.2951136356501375e-06,0,0.0,1.0,True,68.4,0.15831491284776933,37.18396188404356,9.482671517671518,127.65276723261923,0.26583250152565435,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,5,6,0.006783408117690787,0.0024873289590169037,6,1.25e-05,6,1.25e-05,0.006783408117690787,0.0011305680196151311,0.0024873289590169037,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,1.25e-05,0.001129568019615131,0.002297305269334693,0.0024485242210804618,0.0024863289590169035,-0.0024863289590169035,idealized_baseline,68.5,71.0,82.5
corridor_obstacles__proposed__N200__pl20__lat050__seed0__dropout_0p05,corridor_obstacles,proposed,200,0,0.2,50.0,4.0,12,4.0,4.0,0.05,0.0,0.0,0.0,0.05,0.0,4.0,0.0,0.0,0,95800,4933,0.051492693110647185,120.0,0.05,0.28834608026559094,0.36000005669427326,0,0.0,221,4.62537594260348e-06,0,0.0,1.0,True,69.25,0.16054655937121448,38.91812481629187,9.488596673596673,150.4436476319097,0.313293726846959,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,9,9,0.03516467351697002,0.0064239585417399095,9,1.875e-05,9,1.875e-05,0.03516467351697002,0.003907185946330003,0.0064239585417399095,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,9,1.875e-05,0.003906185946330002,0.0063417228937312055,0.006406711412138169,0.006422958541739909,-0.006422958541739909,dropout_0p05,69.33333333333333,72.0,76.5
corridor_obstacles__proposed__N200__pl20__lat050__seed1__dropout_0p05,corridor_obstacles,proposed,200,1,0.2,50.0,4.0,12,4.0,4.0,0.05,0.0,0.0,0.0,0.05,0.0,4.0,0.0,0.0,0,95800,4868,0.05081419624217119,120.0,0.05,0.2855690189773334,0.36000098403351155,0,0.0,199,4.164931278633902e-06,0,0.0,1.0,True,69.05,0.15982859813905392,39.27742512763325,9.502889812889812,145.68561072507873,0.30338527847788155,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,6,7,0.015762144515125608,0.006234958817456031,7,1.4583333333333333e-05,7,1.4583333333333333e-05,0.015762144515125608,0.0022517349307322296,0.006234958817456031,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,1.4583333333333333e-05,0.0022507349307322295,0.005361015076489803,0.006059370069262784,0.006233958817456031,-0.006233958817456031,dropout_0p05,69.16666666666667,72.0,76.0
corridor_obstacles__proposed__N200__pl20__lat050__seed2__dropout_0p05,corridor_obstacles,proposed,200,2,0.2,50.0,4.0,12,4.0,4.0,0.05,0.0,0.0,0.0,0.05,0.0,4.0,0.0,0.0,0,95800,4849,0.05061586638830898,120.0,0.05,0.24618321451330147,0.36000099999999846,0,0.0,147,3.076607527433084e-06,0,0.0,1.0,True,68.3,0.15775019678552574,39.27816123981879,9.49914760914761,149.57127565518022,0.3114770421807168,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,4,0.011794555576367768,0.005627736714295255,4,8.333333333333334e-06,4,8.333333333333334e-06,0.011794555576367768,0.002948638894091942,0.005627736714295255,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,8.333333333333334e-06,0.002947638894091942,0.0053072248146115875,0.005562834334358521,0.005626736714295255,-0.005626736714295255,dropout_0p05,68.25,73.5,79.0
corridor_obstacles__proposed__N200__pl20__lat050__seed3__dropout_0p05,corridor_obstacles,proposed,200,3,0.2,50.0,4.0,12,4.0,4.0,0.05,0.0,0.0,0.0,0.05,0.0,4.0,0.0,0.0,0,95800,4839,0.05051148225469729,120.0,0.05,0.24586198047332106,0.3600009999999999,0,0.0,191,3.997496855372238e-06,0,0.0,1.0,True,68.5,0.1559200387431694,38.68818730368095,9.515956340956341,152.98572498001158,0.3185875155768671,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,4,4,0.007082451672253073,0.005495051116178067,4,8.333333333333334e-06,4,8.333333333333334e-06,0.007082451672253073,0.0017706129180632682,0.005495051116178067,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,8.333333333333334e-06,0.001769612918063268,0.004814871990191603,0.005358215290980774,0.005494051116178067,-0.005494051116178067,dropout_0p05,68.5,71.0,75.0
corridor_obstacles__proposed__N200__pl20__lat050__seed4__dropout_0p05,corridor_obstacles,proposed,200,4,0.2,50.0,4.0,12,4.0,4.0,0.05,0.0,0.0,0.0,0.05,0.0,4.0,0.0,0.0,0,95800,4717,0.04923799582463466,120.0,0.05,0.29530488524863324,0.36000099999999924,0,0.0,181,3.7882038262951576e-06,0,0.0,1.0,True,68.5,0.15608866732374638,39.53377955381949,9.50445945945946,159.3392878221348,0.33181859188282964,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,6,6,0.023634906077350467,0.006968241938887758,6,1.25e-05,6,1.25e-05,0.023634906077350467,0.003939151012891744,0.006968241938887758,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,1.25e-05,0.003938151012891744,0.006421388461181621,0.006858071243346531,0.006967241938887758,-0.006967241938887758,dropout_0p05,68.3,71.0,79.5
