group,scenario_key,metric,projection_off,projection_on_reference
Overall,overall,runs,255.0,255.0
Overall,overall,safety_success_rate,0.996078431372549,1.0
Overall,overall,inter_agent_collision_pair_samples,2.0,0.0
Overall,overall,obstacle_contact_samples,0.0,0.0
Overall,overall,T90_median_s,59.92857142857143,59.92857142857143
Overall,overall,T90_reached_runs,255.0,255.0
Overall,overall,T95_median_s,61.875,61.875
Overall,overall,T95_reached_runs,255.0,255.0
Overall,overall,T99_median_s,66.0,66.0
Overall,overall,T99_reached_runs,255.0,255.0
Overall,overall,mean_reached_fraction,0.9995686274509803,0.999521568627451
Overall,overall,obstacle_clearance_violation_agent_steps,137226.0,3776.0
Overall,overall,pairwise_clearance_violation_pairs,9.0,9.0
Overall,overall,clearance_envelope_violation_steps_total,137235.0,3785.0
Overall,overall,max_conservative_envelope_penetration_m,0.145371725292644,0.042703204824753
Overall,overall,obstacle_max_conservative_penetration_m,0.145371725292644,0.042703204824753
Overall,overall,pairwise_max_conservative_penetration_m,0.0318123429717839,0.010169639279825
Overall,overall,min_obstacle_contact_boundary_margin_m,0.2146282747073559,0.317296795175247
Overall,overall,min_inter_agent_distance_m,0.108187657028216,0.1400009999999977
Overall,overall,obstacle_projection_agent_adjustments,0.0,3776.0
Overall,overall,pairwise_projection_agent_adjustments,0.0,18.0
Obstacle corridor,corridor_obstacles,runs,125.0,125.0
Obstacle corridor,corridor_obstacles,safety_success_rate,0.992,1.0
Obstacle corridor,corridor_obstacles,inter_agent_collision_pair_samples,2.0,0.0
Obstacle corridor,corridor_obstacles,obstacle_contact_samples,0.0,0.0
Obstacle corridor,corridor_obstacles,T90_median_s,68.7,68.75
Obstacle corridor,corridor_obstacles,T90_reached_runs,125.0,125.0
Obstacle corridor,corridor_obstacles,T95_median_s,71.5,71.5
Obstacle corridor,corridor_obstacles,T95_reached_runs,125.0,125.0
Obstacle corridor,corridor_obstacles,T99_median_s,77.0,76.5
Obstacle corridor,corridor_obstacles,T99_reached_runs,125.0,125.0
Obstacle corridor,corridor_obstacles,mean_reached_fraction,0.9991359999999999,0.999056
Obstacle corridor,corridor_obstacles,obstacle_clearance_violation_agent_steps,127174.0,3472.0
Obstacle corridor,corridor_obstacles,pairwise_clearance_violation_pairs,9.0,9.0
Obstacle corridor,corridor_obstacles,clearance_envelope_violation_steps_total,127183.0,3481.0
