run_id,scenario,controller,n_agents,seed,packet_loss,latency_ms,comm_radius_m,k_neighbors,update_rate_hz,obstacle_update_rate_hz,local_safety_dropout,local_safety_latency_ms,local_safety_update_rate_hz,local_safety_position_noise_std_m,local_safety_velocity_noise_std_mps,horizon_s,dt_s,min_inter_agent_distance_m,min_obstacle_contact_boundary_margin_m,cumulative_collision_pairs,collision_rate_per_pair_step,cumulative_safety_violation_pairs,safety_violation_rate_per_pair_step,cumulative_obstacle_contacts,obstacle_contact_rate_per_agent_step,final_reached_fraction,mission_success,completion_time_s,final_mean_goal_distance_m,energy_proxy_accel2_s_per_agent,mean_messages_per_agent_per_update,runtime_s,runtime_ms_per_agent_step,scenario_description,pairwise_projection_calls,pairwise_projection_pair_adjustments,pairwise_projection_agent_adjustments,pairwise_projection_total_displacement_m,pairwise_projection_max_displacement_m,pairwise_projection_velocity_corrections,pairwise_projection_agent_adjustment_rate_per_agent_step,obstacle_projection_calls,obstacle_projection_agent_adjustments,obstacle_projection_total_displacement_m,obstacle_projection_max_displacement_m,obstacle_projection_velocity_corrections,obstacle_projection_agent_adjustment_rate_per_agent_step,projection_agent_adjustments,projection_agent_adjustment_rate_per_agent_step,projection_total_displacement_m,projection_mean_displacement_m_per_adjustment,projection_max_displacement_m,pre_projection_state_checks,pre_projection_collision_pairs,pre_projection_collision_rate_per_pair_step,pre_projection_obstacle_contacts,pre_projection_obstacle_contact_rate_per_agent_step,pre_projection_pairwise_violation_pairs,pre_projection_pairwise_violation_rate_per_pair_step,pre_projection_pairwise_violation_agent_steps,pre_projection_pairwise_violation_agent_rate_per_agent_step,pre_projection_pairwise_mean_penetration_m,pre_projection_pairwise_p95_penetration_m,pre_projection_pairwise_p99_penetration_m,pre_projection_pairwise_max_penetration_m,pre_projection_obstacle_violation_agent_steps,pre_projection_obstacle_violation_rate_per_agent_step,pre_projection_obstacle_mean_penetration_m,pre_projection_obstacle_p95_penetration_m,pre_projection_obstacle_p99_penetration_m,pre_projection_obstacle_max_penetration_m,pre_projection_obstacle_min_clearance_margin_m
corridor_obstacles__proposed__N50__pl00__lat000__seed0,corridor_obstacles,proposed,50,0,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2354199103828352,0.22741654154566038,0,0.0,67,2.2779624136201753e-05,0,0.0,1.0,True,57.650000000000006,0.040439911402427725,25.881416841933472,11.576548856548856,22.936810603830963,0.1910604798319947,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2703,0.022525,0.04310103706736061,0.10315388005938292,0.1296398497239926,0.13258345845433972,-0.13258345845433972
corridor_obstacles__proposed__N50__pl00__lat000__seed1,corridor_obstacles,proposed,50,1,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.25518939865471735,0.21866260005241378,0,0.0,68,2.3119618526294317e-05,0,0.0,1.0,True,57.45,0.040375147033107336,25.047293878171946,11.522827442827444,35.04545730818063,0.2919238426337412,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2770,0.023083333333333334,0.04478458264718592,0.10842017121927518,0.13656631155031962,0.1413373999475862,-0.1413373999475862
corridor_obstacles__proposed__N50__pl00__lat000__seed2,corridor_obstacles,proposed,50,2,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3161789210557386,0.2283086502852355,0,0.0,55,1.869969145509099e-05,0,0.0,1.0,True,58.35,0.04025080059977217,26.1402777650349,11.5587525987526,23.42559434613213,0.19513198122559042,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2629,0.021908333333333332,0.04736753691453914,0.10863950427243402,0.12347313331485812,0.13169134971476448,-0.13169134971476448
corridor_obstacles__proposed__N50__pl00__lat000__seed3,corridor_obstacles,proposed,50,3,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.22472272418648628,0.2299574552799275,0,0.0,42,1.4279764383887666e-05,0,0.0,1.0,True,58.25,0.04037570672183402,25.94736225364896,11.466902286902286,23.04665317805484,0.19197545337821606,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2805,0.023375,0.042071675693104195,0.09896217405854803,0.11997773229900716,0.1300425447200726,-0.1300425447200726
corridor_obstacles__proposed__N50__pl00__lat000__seed4,corridor_obstacles,proposed,50,4,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.23435665047167084,0.2334789275080038,0,0.0,35,1.1899803653239721e-05,0,0.0,1.0,True,57.2,0.040353315975747345,25.471789813464532,11.497089397089397,23.188195480033755,0.19315448129973975,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2697,0.022475,0.04269635083906955,0.09874835531486131,0.11099735023821816,0.1265210724919963,-0.1265210724919963
corridor_obstacles__proposed__N100__pl00__lat000__seed0,corridor_obstacles,proposed,100,0,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.25757583528266775,0.21963918922985182,0,0.0,192,1.6154884959549683e-05,0,0.0,1.0,True,58.7,0.12014530389742922,28.599436167814783,11.917359667359667,45.556258586701006,0.18973868632528532,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3752,0.015633333333333332,0.04412545170725196,0.10925030844471255,0.13365526576283823,0.14036081077014817,-0.14036081077014817
corridor_obstacles__proposed__N100__pl00__lat000__seed1,corridor_obstacles,proposed,100,1,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.23326775952701656,0.2219222284995226,0,0.0,181,1.5229344675408816e-05,0,0.0,1.0,True,58.150000000000006,0.12007729625954174,28.507465731008374,11.885384615384615,46.11670322297141,0.19207289972083053,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3988,0.016616666666666665,0.041330118947722365,0.10555676939282023,0.12138533285457155,0.1380777715004775,-0.1380777715004775
corridor_obstacles__proposed__N100__pl00__lat000__seed2,corridor_obstacles,proposed,100,2,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2477614861455702,0.21752080272885588,0,0.0,248,2.0866726406085006e-05,0,0.0,1.0,True,58.650000000000006,0.11848697420904399,28.7056888030006,11.91977130977131,46.86499587073922,0.19518948717509046,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3974,0.016558333333333335,0.04465551825480378,0.10911936276172844,0.12846074115852277,0.1424791972711441,-0.1424791972711441
corridor_obstacles__proposed__N100__pl00__lat000__seed3,corridor_obstacles,proposed,100,3,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.245494172411966,0.2219953892394826,0,0.0,214,1.8005965527831418e-05,0,0.0,1.0,True,58.25,0.11881125315161435,28.15299330230257,11.895197505197505,52.0560100460425,0.21680970448164308,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4025,0.016770833333333332,0.04639759337288595,0.11293790806777725,0.1339334794231479,0.1380046107605175,-0.1380046107605175
corridor_obstacles__proposed__N100__pl00__lat000__seed4,corridor_obstacles,proposed,100,4,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.24549435655593935,0.2146282747073559,0,0.0,190,1.5986604907887705e-05,0,0.0,1.0,True,59.550000000000004,0.11996550043023117,28.412163077895414,11.904698544698544,46.085606046020985,0.1919433821158725,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4049,0.016870833333333335,0.04836507639729333,0.11297092497949447,0.14074047733226783,0.14537172529264408,-0.14537172529264408
