run_id,scenario,controller,n_agents,seed,packet_loss,latency_ms,comm_radius_m,k_neighbors,update_rate_hz,obstacle_update_rate_hz,local_safety_dropout,local_safety_latency_ms,local_safety_update_rate_hz,local_safety_position_noise_std_m,local_safety_velocity_noise_std_mps,horizon_s,dt_s,min_inter_agent_distance_m,min_obstacle_contact_boundary_margin_m,cumulative_collision_pairs,collision_rate_per_pair_step,cumulative_safety_violation_pairs,safety_violation_rate_per_pair_step,cumulative_obstacle_contacts,obstacle_contact_rate_per_agent_step,final_reached_fraction,mission_success,completion_time_s,final_mean_goal_distance_m,energy_proxy_accel2_s_per_agent,mean_messages_per_agent_per_update,runtime_s,runtime_ms_per_agent_step,scenario_description,pairwise_projection_calls,pairwise_projection_pair_adjustments,pairwise_projection_agent_adjustments,pairwise_projection_total_displacement_m,pairwise_projection_max_displacement_m,pairwise_projection_velocity_corrections,pairwise_projection_agent_adjustment_rate_per_agent_step,obstacle_projection_calls,obstacle_projection_agent_adjustments,obstacle_projection_total_displacement_m,obstacle_projection_max_displacement_m,obstacle_projection_velocity_corrections,obstacle_projection_agent_adjustment_rate_per_agent_step,projection_agent_adjustments,projection_agent_adjustment_rate_per_agent_step,projection_total_displacement_m,projection_mean_displacement_m_per_adjustment,projection_max_displacement_m,pre_projection_state_checks,pre_projection_collision_pairs,pre_projection_collision_rate_per_pair_step,pre_projection_obstacle_contacts,pre_projection_obstacle_contact_rate_per_agent_step,pre_projection_pairwise_violation_pairs,pre_projection_pairwise_violation_rate_per_pair_step,pre_projection_pairwise_violation_agent_steps,pre_projection_pairwise_violation_agent_rate_per_agent_step,pre_projection_pairwise_mean_penetration_m,pre_projection_pairwise_p95_penetration_m,pre_projection_pairwise_p99_penetration_m,pre_projection_pairwise_max_penetration_m,pre_projection_obstacle_violation_agent_steps,pre_projection_obstacle_violation_rate_per_agent_step,pre_projection_obstacle_mean_penetration_m,pre_projection_obstacle_p95_penetration_m,pre_projection_obstacle_p99_penetration_m,pre_projection_obstacle_max_penetration_m,pre_projection_obstacle_min_clearance_margin_m,T90_s,T95_s,T99_s,safety_success
corridor_obstacles__proposed__N50__pl00__lat000__seed0,corridor_obstacles,proposed,50,0,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2354199103828352,0.2274165415456603,0,0.0,67,2.277962413620176e-05,0,0.0,1.0,True,57.650000000000006,0.0404399114024277,25.881416841933472,11.576548856548856,22.936810603830963,0.1910604798319947,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2703,0.022525,0.0431010370673606,0.1031538800593829,0.1296398497239926,0.1325834584543397,-0.1325834584543397,57.75,58.25,58.75,True
corridor_obstacles__proposed__N50__pl00__lat000__seed1,corridor_obstacles,proposed,50,1,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2551893986547173,0.2186626000524137,0,0.0,68,2.311961852629432e-05,0,0.0,1.0,True,57.45,0.0403751470331073,25.047293878171946,11.522827442827444,35.04545730818063,0.2919238426337412,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2770,0.0230833333333333,0.0447845826471859,0.1084201712192751,0.1365663115503196,0.1413373999475862,-0.1413373999475862,57.5,58.25,59.75,True
corridor_obstacles__proposed__N50__pl00__lat000__seed2,corridor_obstacles,proposed,50,2,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3161789210557386,0.2283086502852355,0,0.0,55,1.869969145509099e-05,0,0.0,1.0,True,58.35,0.0402508005997721,26.1402777650349,11.5587525987526,23.42559434613213,0.1951319812255904,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2629,0.0219083333333333,0.0473675369145391,0.108639504272434,0.1234731333148581,0.1316913497147644,-0.1316913497147644,58.25,58.625,59.75,True
corridor_obstacles__proposed__N50__pl00__lat000__seed3,corridor_obstacles,proposed,50,3,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2247227241864862,0.2299574552799275,0,0.0,42,1.4279764383887666e-05,0,0.0,1.0,True,58.25,0.040375706721834,25.94736225364896,11.466902286902286,23.04665317805484,0.191975453378216,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2805,0.023375,0.0420716756931041,0.098962174058548,0.1199777322990071,0.1300425447200726,-0.1300425447200726,58.25,58.625,60.25,True
corridor_obstacles__proposed__N50__pl00__lat000__seed4,corridor_obstacles,proposed,50,4,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2343566504716708,0.2334789275080038,0,0.0,35,1.189980365323972e-05,0,0.0,1.0,True,57.2,0.0403533159757473,25.47178981346453,11.497089397089397,23.188195480033755,0.1931544812997397,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2697,0.022475,0.0426963508390695,0.0987483553148613,0.1109973502382181,0.1265210724919963,-0.1265210724919963,57.5,58.41666666666666,58.875,True
corridor_obstacles__proposed__N100__pl00__lat000__seed0,corridor_obstacles,proposed,100,0,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2575758352826677,0.2196391892298518,0,0.0,192,1.6154884959549683e-05,0,0.0,1.0,True,58.7,0.1201453038974292,28.599436167814783,11.917359667359667,45.556258586701006,0.1897386863252853,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3752,0.0156333333333333,0.0441254517072519,0.1092503084447125,0.1336552657628382,0.1403608107701481,-0.1403608107701481,58.833333333333336,60.0,62.5,True
corridor_obstacles__proposed__N100__pl00__lat000__seed1,corridor_obstacles,proposed,100,1,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2332677595270165,0.2219222284995226,0,0.0,181,1.5229344675408816e-05,0,0.0,1.0,True,58.150000000000006,0.1200772962595417,28.507465731008374,11.885384615384616,46.11670322297141,0.1920728997208305,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3988,0.0166166666666666,0.0413301189477223,0.1055567693928202,0.1213853328545715,0.1380777715004775,-0.1380777715004775,58.25,60.0,64.5,True
corridor_obstacles__proposed__N100__pl00__lat000__seed2,corridor_obstacles,proposed,100,2,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2477614861455702,0.2175208027288558,0,0.0,248,2.086672640608501e-05,0,0.0,1.0,True,58.650000000000006,0.1184869742090439,28.7056888030006,11.91977130977131,46.86499587073922,0.1951894871750904,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3974,0.0165583333333333,0.0446555182548037,0.1091193627617284,0.1284607411585227,0.1424791972711441,-0.1424791972711441,58.75,60.3,62.0,True
corridor_obstacles__proposed__N100__pl00__lat000__seed3,corridor_obstacles,proposed,100,3,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.245494172411966,0.2219953892394826,0,0.0,214,1.8005965527831418e-05,0,0.0,1.0,True,58.25,0.1188112531516143,28.15299330230257,11.895197505197505,52.0560100460425,0.216809704481643,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4025,0.0167708333333333,0.0463975933728859,0.1129379080677772,0.1339334794231479,0.1380046107605175,-0.1380046107605175,58.2,60.0,62.75,True
corridor_obstacles__proposed__N100__pl00__lat000__seed4,corridor_obstacles,proposed,100,4,0.0,0.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.2454943565559393,0.2146282747073559,0,0.0,190,1.5986604907887705e-05,0,0.0,1.0,True,59.55,0.1199655004302311,28.41216307789541,11.904698544698544,46.085606046020985,0.1919433821158725,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4049,0.0168708333333333,0.0483650763972933,0.1129709249794944,0.1407404773322678,0.145371725292644,-0.145371725292644,60.0,61.5,62.5,True
corridor_obstacles__proposed__N100__pl00__lat050__seed0,corridor_obstacles,proposed,100,0,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3414500176774055,0.3557158017587122,0,0.0,58,4.8801214981973e-06,0,0.0,1.0,True,66.5,0.1250699127112633,31.071415118105733,11.708170478170478,70.8119311761111,0.2949268270558563,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,21,8.75e-05,0.0033097701507069,0.0041924825746668,0.0042658551079636,0.0042841982412877,-0.0042841982412877,66.5,69.0,70.75,True
corridor_obstacles__proposed__N100__pl00__lat050__seed1,corridor_obstacles,proposed,100,1,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3341606768210745,0.3528620488406593,0,0.0,61,5.132541575690263e-06,0,0.0,1.0,True,67.5,0.1233675769614165,31.718080298410506,11.72883575883576,70.33397117909044,0.2929361565143292,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,47,0.0001958333333333,0.0043656614682859,0.0071070007184359,0.0071255848579971,0.0071379511593407,-0.0071379511593407,67.25,69.5,72.0,True
corridor_obstacles__proposed__N100__pl00__lat050__seed2,corridor_obstacles,proposed,100,2,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3409792446446373,0.3530807203737065,0,0.0,52,4.375281343211372e-06,0,0.0,1.0,True,66.55,0.125158241516229,31.91962464873288,11.683160083160082,68.47279323078692,0.2851844782623361,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,127,0.0005291666666666,0.0049045140499451,0.0068555199039698,0.0069125040813113,0.0069192796262935,-0.0069192796262935,67.0,69.5,76.0,True
corridor_obstacles__proposed__N100__pl00__lat050__seed3,corridor_obstacles,proposed,100,3,0.0,50.0,4.0,12,4.0,4.0,0.0,0.0,4.0,0.0,0.0,120.0,0.05,0.3542939712160146,0.3452069349840461,0,0.0,44,3.702161136563469e-06,0,0.0,1.0,True,66.60000000000001,0.1250121563217815,31.529333869839125,11.706694386694387,69.91747224517167,0.2912014670769332,Obstacle-rich corridor with three lateral rows of alternating cylindrical obstacles.,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2400,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,74,0.0003083333333333,0.0078069041663541,0.014756750397745,0.0147749587122022,0.014793065015954,-0.014793065015954,66.75,69.0,72.0,True
